id,GW01,GW02,GW03
Mohamed_Salah__Liverpool__MID,3.0,2.0,2.0
Dominic_Calvert-Lewin__Everton__FWD,2.0,2.0,2.0
Marcos_Alonso__Chelsea__DEF,2.0,2.0,2.0
Mason_Greenwood__Man_Utd__MID,2.0,2.0,2.0
Michail_Antonio__West_Ham__FWD,2.0,2.0,2.0
Pontus_Jansson__Brentford__DEF,2.0,2.0,2.0
Sergio_Reguilón__Spurs__DEF,2.0,2.0,2.0
Hugo_Lloris__Spurs__GK,2.0,2.0,1.0
Saïd_Benrahma__West_Ham__MID,2.0,2.0,1.0
Ferran_Torres__Man_City__MID,2.0,1.0,3.0
Trevoh_Chalobah__Chelsea__DEF,2.0,1.0,1.0
Reece_James__Chelsea__DEF,1.0,3.0,1.0
Gabriel_Fernando_de_Jesus__Man_City__FWD,1.0,2.0,2.0
Conor_Gallagher__Crystal_Palace__MID,1.0,1.0,2.0
David_de_Gea__Man_Utd__GK,1.0,1.0,2.0
